firsturl,date,chjh,mzelst
NA,"October 17, 2015 at 10:01PM",0,0
NA,"September 02, 2015 at 01:43PM",0,0
https://t.co/9Eq1TTcczp,"October 19, 2015 at 09:41PM",0,0
NA,"October 21, 2015 at 01:49PM",0,0
NA,"October 26, 2015 at 10:50AM",0,0
NA,"October 27, 2015 at 11:45AM",0,0
NA,"October 21, 2015 at 12:58PM",0,0
NA,"September 15, 2015 at 11:24PM",0,0
NA,"November 24, 2015 at 12:28AM",0,0
NA,"December 03, 2015 at 07:04PM",0,0
NA,"September 25, 2015 at 08:31PM",0,0
NA,"October 23, 2015 at 12:55PM",0,0
NA,"October 23, 2015 at 11:01AM",0,0
NA,"October 23, 2015 at 09:46AM",0,0
https://t.co/YDPAb8E6Lj,"November 05, 2015 at 12:54PM",1,1
https://t.co/HN0UY0Df1I,"December 11, 2015 at 05:34PM",1,1
NA,"October 21, 2015 at 02:30PM",0,0
NA,"October 07, 2015 at 02:58PM",0,0
NA,"October 28, 2015 at 06:18PM",0,0
NA,"November 02, 2015 at 09:38PM",0,0
NA,"September 09, 2015 at 02:10PM",0,0
NA,"October 23, 2015 at 10:50PM",0,0
http://t.co/YUksdgC981,"September 10, 2015 at 02:54AM",0,1
NA,"October 28, 2015 at 07:52AM",0,0
NA,"November 18, 2015 at 05:31PM",0,0
http://t.co/PitxSvONwm,"September 27, 2015 at 10:30PM",0,0
NA,"October 24, 2015 at 07:33PM",0,0
NA,"September 11, 2015 at 12:45PM",0,0
NA,"October 28, 2015 at 10:43PM",0,0
NA,"October 28, 2015 at 10:11PM",0,0
NA,"October 29, 2015 at 07:48PM",0,0
NA,"October 30, 2015 at 01:16AM",0,0
NA,"October 22, 2015 at 09:15PM",0,0
https://t.co/KSwKWrD2kV,"October 26, 2015 at 09:04AM",0,0
https://t.co/7T1v8WFKYD,"November 03, 2015 at 08:49PM",0,0
https://t.co/TWcv0NZ5oM,"October 22, 2015 at 12:46AM",0,0
NA,"October 24, 2015 at 02:23AM",0,0
https://t.co/6YykC92BiT,"October 28, 2015 at 06:14PM",0,0
http://t.co/ACB78lU8ND,"October 15, 2015 at 12:04PM",1,1
